radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
UMTS,212,10,12603,282863,0,7.4178314208984,43.73176574707,1000,1,1,1476887083,1476887083,0
UMTS,212,10,12603,279255,0,7.420921,43.730049,1000,4,1,1476915883,1479647731,0
UMTS,212,10,12603,273756,0,7.4246978759766,43.733139038086,1000,2,1,1476915882,1490410154,0
UMTS,212,10,12603,279756,0,7.4260711669922,43.73176574707,1000,2,1,1476915883,1477486113,0
UMTS,212,10,12603,274055,0,7.4178314208984,43.733139038086,1000,2,1,1476915882,1477111707,0
UMTS,212,10,12603,274557,0,7.4219512939453,43.73176574707,1000,1,1,1476887083,1476887083,0
UMTS,212,10,12603,273456,0,7.4219512939453,43.730392456055,1000,2,1,1476915882,1479185836,0
UMTS,212,10,12603,273298,0,7.4192047119141,43.733139038086,1000,1,1,1476887083,1476887083,0
UMTS,212,10,12603,273455,0,7.421265,43.730392,1000,2,1,1477152538,1479185836,0
UMTS,212,10,12603,274476,0,7.4233245849609,43.733139038086,1000,1,1,1477364421,1477364421,0
LTE,212,10,12603,11393,0,7.418747,43.732224,1000,3,1,1477525214,1489166290,0
LTE,212,10,12603,16808,0,7.4343109130859,43.748245239258,1000,2,1,1477525214,1480778451,0
UMTS,212,10,12603,274906,0,7.429582,43.7413,1000,3,1,1477897613,1555277937,0
UMTS,212,10,12603,273986,0,7.4274444580078,43.73176574707,1000,1,1,1478239700,1478239700,0
LTE,212,10,12603,16288,0,7.421265,43.730392,1000,4,1,1478261245,1489166296,0
LTE,212,10,12603,15773,0,7.4233245849609,43.730392456055,1000,2,1,1478261245,1480778451,0
LTE,212,10,12603,4714,0,7.428131,43.733826,1000,2,1,1478242679,1478242679,0
LTE,212,10,12603,8169,0,7.4260711669922,43.74137878418,1000,3,1,1479157547,1484586998,0
UMTS,212,10,12603,273475,0,7.4219512939453,43.730392456055,1000,1,1,1479185836,1479185836,0
UMTS,212,10,12603,15632,0,7.4233245849609,43.730392456055,1000,1,1,1479185836,1479185836,0
UMTS,212,10,12603,273476,0,7.4219512939453,43.730392456055,1000,1,1,1479185836,1479185836,0
UMTS,212,10,12603,275165,0,7.4233245849609,43.730392456055,1000,1,1,1479185836,1479185836,0
UMTS,212,10,12603,273457,0,7.4260711669922,43.730392456055,1000,1,1,1479185836,1479185836,0
UMTS,212,10,12603,279657,0,7.4178314208984,43.724899291992,1000,1,1,1479489123,1479489123,0
UMTS,212,10,12603,279656,0,7.418518,43.726273,1000,2,1,1479586150,1479647731,0
UMTS,212,10,12603,279685,0,7.4205780029297,43.726272583008,1000,1,1,1479647731,1479647731,0
LTE,212,10,12603,3053,0,7.4192047119141,43.73176574707,1000,1,1,1480778451,1480778451,0
LTE,212,10,12603,2744,0,7.428282,43.739674,1000,2,1,1480799118,1539023257,0
LTE,212,10,12603,15822,0,7.424698,43.733139,1000,2,1,1480799118,1489166285,0
LTE,212,10,12603,4807,0,7.426122,43.741574,1000,3,1,1480799118,1538992180,0
LTE,212,10,12603,2873,0,7.424402,43.73406,1000,3,1,1480799118,1539017627,0
LTE,212,10,12603,8111,0,7.428131,43.742752,1000,2,1,1480799118,1489166296,0
GSM,212,10,5601,21923,0,7.4068450927734,43.726272583008,1000,1,1,1481772810,1481772810,0
GSM,212,10,12603,16383,0,7.4068450927734,43.726272583008,1000,1,1,1481772810,1481772810,0
LTE,212,10,12603,14228,0,7.4137115478516,43.727645874023,1000,2,1,1482336421,1488269904,0
LTE,212,10,12603,14289,0,7.4150848388672,43.729019165039,1000,2,1,1482336421,1489166296,0
LTE,212,10,12603,6349,0,7.415085,43.738174,1000,3,1,1482516519,1490328950,0
UMTS,212,10,12603,273258,0,7.4192047119141,43.733139038086,1000,1,1,1483100719,1483100719,0
LTE,212,10,12603,8113,0,7.426529,43.741379,1000,3,1,1484840965,1489581190,0
LTE,212,10,12603,6039,0,7.423324,43.748245,1000,2,1,1484883767,1490328950,0
LTE,212,10,12603,8114,0,7.424698,43.746414,1000,3,1,1484883767,1490328950,0
LTE,212,10,12603,2814,0,7.42913,43.749379,1000,2,1,1484799961,1555211834,0
LTE,212,10,12603,6968,0,7.431881,43.752089,1000,2,1,1485229878,1548076522,0
LTE,212,10,12603,6347,0,7.424167,43.739536,1000,4,1,1485312941,1547824766,0
UMTS,212,10,12603,273956,0,7.4288177490234,43.734512329102,1000,1,1,1485594060,1485594060,0
UMTS,212,10,12603,273755,0,7.4246978759766,43.738632202148,1000,1,1,1485815146,1485815146,0
LTE,212,10,12603,11654,0,7.4315643310547,43.744125366211,1000,1,1,1486957290,1486957290,0
LTE,212,10,12603,5182,0,7.4164581298828,43.730392456055,1000,1,1,1488269904,1488269904,0
LTE,212,10,12603,3798,0,7.4123382568359,43.727645874023,1000,2,1,1488420781,1489166296,0
LTE,212,10,12603,5231,0,7.4219512939453,43.726272583008,1000,1,1,1488269904,1488269904,0
UMTS,212,10,12603,273275,0,7.423931,43.736186,1000,3,1,1488689273,1539021020,0
UMTS,212,10,12603,273278,0,7.4192047119141,43.733139038086,1000,1,1,1488629086,1488629086,0
UMTS,212,10,12603,274576,0,7.4192047119141,43.733139038086,1000,1,1,1488629086,1488629086,0
UMTS,212,10,12603,279776,0,7.424574,43.740406,1000,2,1,1488689273,1538991667,0
LTE,212,10,12603,11475,0,7.4164581298828,43.730392456055,1000,1,1,1489166290,1489166290,0
LTE,212,10,12603,6348,0,7.4192047119141,43.734512329102,1000,1,1,1489166290,1489166290,0
LTE,212,10,12603,4806,0,7.4205780029297,43.737258911133,1000,1,1,1489166285,1489166285,0
LTE,212,10,12603,10208,0,7.4384307861328,43.748245239258,1000,1,1,1489166296,1489166296,0
